[DEBUG] [2023-02-01 00:00:26] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 00:00:26] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 00:00:26] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 353, groupId: 1
[DEBUG] [2023-02-01 00:00:26] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 353, nodeWithLatestBlockNumber:[127.0.0.1:20201]
[DEBUG] [2023-02-01 00:00:26] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 00:00:26] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 00:00:26] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 353, groupId: 1
[DEBUG] [2023-02-01 00:00:26] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 353, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2023-02-01 00:00:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 00:00:27] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 00:00:27] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 354, groupId: 1
[DEBUG] [2023-02-01 00:00:27] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 354, nodeWithLatestBlockNumber:[127.0.0.1:20200]
[DEBUG] [2023-02-01 00:00:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 00:00:27] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 00:00:27] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 354, groupId: 1
[DEBUG] [2023-02-01 00:00:27] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 354, nodeWithLatestBlockNumber:[127.0.0.1:20200, 127.0.0.1:20201]
[DEBUG] [2023-02-01 00:00:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 97cb339ae37b46cf96a01e41774de948, msgType : 19
[DEBUG] [2023-02-01 00:00:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 855d2e7078d2475e8c2cde7172cf5524, msgType : 19
[DEBUG] [2023-02-01 00:00:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 00:00:27] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 00:00:27] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 355, groupId: 1
[DEBUG] [2023-02-01 00:00:27] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 355, nodeWithLatestBlockNumber:[127.0.0.1:20201]
[DEBUG] [2023-02-01 00:00:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 00:00:27] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 00:00:27] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 355, groupId: 1
[DEBUG] [2023-02-01 00:00:27] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 355, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2023-02-01 00:00:28] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 00:00:28] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 00:00:28] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 356, groupId: 1
[DEBUG] [2023-02-01 00:00:28] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 356, nodeWithLatestBlockNumber:[127.0.0.1:20201]
[DEBUG] [2023-02-01 00:00:28] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 00:00:28] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 00:00:28] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 356, groupId: 1
[DEBUG] [2023-02-01 00:00:28] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 356, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2023-02-01 00:00:28] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 00:00:28] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 00:00:28] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 357, groupId: 1
[DEBUG] [2023-02-01 00:00:28] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 357, nodeWithLatestBlockNumber:[127.0.0.1:20201]
[DEBUG] [2023-02-01 00:00:28] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 00:00:28] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 00:00:28] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 357, groupId: 1
[DEBUG] [2023-02-01 00:00:28] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 357, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2023-02-01 00:00:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 00:00:29] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 00:00:29] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 358, groupId: 1
[DEBUG] [2023-02-01 00:00:29] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 358, nodeWithLatestBlockNumber:[127.0.0.1:20201]
[DEBUG] [2023-02-01 00:00:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 00:00:29] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 00:00:29] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 358, groupId: 1
[DEBUG] [2023-02-01 00:00:29] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 358, nodeWithLatestBlockNumber:[127.0.0.1:20201, 127.0.0.1:20200]
[DEBUG] [2023-02-01 00:00:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 94d1e50e8218473a8fc4b352bb420a9f, msgType : 19
[DEBUG] [2023-02-01 00:00:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 42f4c86564954f9a8ac7e3ab2bc04350, msgType : 19
[DEBUG] [2023-02-01 00:00:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 00:00:29] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 00:00:29] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 359, groupId: 1
[DEBUG] [2023-02-01 00:00:29] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 359, nodeWithLatestBlockNumber:[127.0.0.1:20201]
[DEBUG] [2023-02-01 00:00:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 00:00:29] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 00:00:29] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 359, groupId: 1
